root	leaf	logFC_root_leaf	PValue_root_leaf	FDR_root_leaf
AT1TE12090	2105.79248249744	1074.58563712648	0.96536339602108	0.0453144029256221	1
AT1TE12130	0	0	0	1	1
AT1TE12135	0	0	0	1	1
AT1TE12220	0	0	0	1	1
AT1TE12230	6.72000442942783	0	2.29434778004771	1	1
AT1TE12235	0	0	0	1	1
AT1TE12240	0	0	0	1	1
AT1TE12270	0	0	0	1	1
AT1TE12275	0	0	0	1	1
AT1TE12280	0	0	0	1	1
AT1TE12285	0	0	0	1	1
AT1TE12295	9.86133697986291	6.54528298473543	0.584131462187027	0.588500650339401	1
AT1TE12305	0	0	0	1	1
AT1TE12310	0	0	0	1	1
AT1TE12420	0	0	0	1	1
AT1TE12425	0	0	0	1	1
AT1TE12430	0	0	0	1	1
AT1TE12435	0	0	0	1	1
AT1TE12440	0	0	0	1	1
AT1TE12520	0	0	0	1	1
AT1TE12525	0	0	0	1	1
AT1TE12660	66.1884307242569	0	2.29434778005419	0.999999999999995	1
AT1TE12665	916.158241266787	975.011239698533	-0.0897119878003135	0.637826897429873	1
AT1TE12670	0	0	0	1	1
AT1TE12675	0	0	0	1	1
AT1TE12710	0	0	0	1	1
AT1TE12715	0	0	0	1	1
AT1TE12720	0	0	0	1	1
AT1TE12725	0	0	0	1	1
AT1TE12750	35.9446983835628	0	3.66814588946885	0.253793764747539	1
AT1TE12770	0	0	0	1	1
AT1TE12775	0	0	0	1	1
AT1TE12785	0	0	0	1	1
AT1TE12790	0	0	0	1	1
AT1TE12795	0	0	0	1	1
AT1TE12800	0	0	0	1	1
AT1TE12810	0	0	0	1	1
AT1TE12830	0	0	0	1	1
AT1TE12880	0	94.2484376780319	-2.34990270271949	1	1
AT1TE13060	92.5620948337132	71.8977478139357	0.321981023349979	1	1
AT1TE13240	4668.16007414855	3968.59105610053	0.236689873470289	0.203951949421452	1
AT1TE13245	7026.25144864547	5762.22370661978	0.29086547699716	0.18954766282465	1
AT1TE13270	0	0	0	1	1
AT1TE13300	0	0	0	1	1
AT1TE13305	0	0	0	1	1
AT1TE13310	0	5.60725710394573	-2.35098263553539	1	1
AT1TE13320	0	0	0	1	1
AT1TE13360	0	0	0	1	1
AT1TE13365	0	0	0	1	1
AT1TE13370	0	0	0	1	1
AT1TE13375	0	0	0	1	1
AT1TE13380	0	0	0	1	1
AT1TE13430	0	0	0	1	1
AT1TE13440	0	0	0	1	1
AT1TE13445	0	0	0	1	1
AT1TE13450	0	0	0	1	1
AT1TE13455	0	0	0	1	1
AT1TE13560	0	0	0	1	1
AT1TE13640	0	0	0	1	1
AT1TE13690	0	0	0	1	1
AT1TE13960	0	0	0	1	1
AT1TE13965	0	0	0	1	1
AT1TE13970	0	0	0	1	1
AT1TE13980	0	0	0	1	1
AT1TE14020	0	0	0	1	1
AT1TE14025	0	0	0	1	1
AT1TE14080	0	0	0	1	1
AT1TE14085	0	0	0	1	1
AT1TE14210	3636.67729436868	3742.49306461673	-0.0458359320353852	0.888582906305659	1
AT1TE14230	0	0	0	1	1
AT1TE14310	0	0	0	1	1
AT1TE14315	0	1.19581269745697	-2.3499027025998	0.999999999999998	1
AT1TE14320	0	0	0	1	1
AT1TE14325	0	0	0	1	1
AT1TE14330	0	0	0	1	1
AT1TE14335	0	0	0	1	1
AT1TE14340	0	0	0	1	1
AT1TE14345	0	0	0	1	1
AT1TE14350	0	0	0	1	1
AT1TE14355	0	0	0	1	1
AT1TE14500	513.634413004145	571.577342137082	-0.141605701038547	0.786536372366188	1
AT1TE14590	7274.07511490619	6894.28664569179	0.0732127589166598	0.813123263662942	1
AT1TE14600	0	0	0	1	1
AT1TE14640	0	0	0	1	1
AT1TE14645	0	0	0	1	1
AT1TE14655	3086.87615051092	2242.09814557072	0.460354488034615	0.276064108801544	1
AT1TE14670	2934.98001430083	3135.34555430628	-0.100047698191186	0.775471220631448	1
AT1TE14730	0	0	0	1	1
AT1TE14750	1405.00264826242	1841.8044337905	-0.381386892749689	0.461844681517587	1
AT1TE14755	0	0	0	1	1
AT1TE14820	0	0	0	1	1
AT1TE14860	0	0	0	1	1
AT1TE14865	0	0	0	1	1
AT1TE14870	0	8.96947064285809	-2.3499027024801	0.999999999999996	1
AT1TE14900	0	0	0	1	1
AT1TE14905	0	0	0	1	1
AT1TE14910	0	0	0	1	1
AT1TE14990	0	0	0	1	1
AT1TE15090	0	0	0	1	1
AT1TE15095	0	0	0	1	1
AT1TE15100	0	0	0	1	1
AT1TE15105	0	0	0	1	1
AT1TE15170	0	0	0	1	1
